Tweet Id,Username,timestamp,followers,friends,retweets,favorites,entities,sentiment,mentions,hashtags,urls
1255980348229529601,fa5fd446e778da0acba3504aeab23da5,Thu Apr 30 22:00:24 +0000 2020,29697,24040,0,0,null;,1 -1,null;,Opinion Next2blowafrica thoughts,null;
1255981220640546816,547501e9cc84b8148ae1b8bde04157a4,Thu Apr 30 22:03:52 +0000 2020,799,1278,4,6,null;,1 -1,null;,null;,null;
1255981244560683008,840ac60dab55f6b212dc02dcbe5dfbd6,Thu Apr 30 22:03:58 +0000 2020,586,378,1,2,null;,2 -1,null;,null;,https://www.bbc.com/news/uk-england-beds-bucks-herts-52472132:-:
1255981472285986816,37c68a001198b5efd4a21e2b68a0c9bc,Thu Apr 30 22:04:52 +0000 2020,237,168,0,0,null;,1 -1,null;,null;,https://lockdownsceptics.org/2020/04/30/latest-news-16/:-:
1255981581354905600,8c3620bdfb9d2a1acfdf2412c9b34e06,Thu Apr 30 22:05:18 +0000 2020,423,427,0,0,i hate u:I_Hate_U:-1.8786140035817729;quarantine:Quarantine:-2.3096035868012508;,1 -4,null;,null;,null;
1255982235662024704,491a98bbc105806cb67f46f5e3f3d888,Thu Apr 30 22:07:54 +0000 2020,52,46,0,0,god forbid:God_Forbid:-1.2640735877261988;covid 19:Coronavirus_disease_2019:-1.535776454600282;president trump:Donald_Trump:-2.5297230987882484;,2 -4,Danartman BishopStika,null;,https://www.dailymail.co.uk/health/article-8266737/Doctors-group-claims-hydroxychloroquine-helps-91-coronavirus-patients.html:-:
1255982852371554304,916dec763c84916c929bb257ff96187d,Thu Apr 30 22:10:21 +0000 2020,70185,10625,213,926,beijing:Beijing:-1.4222174822860647;covid 19:Coronavirus_disease_2019:-1.535776454600282;canada:Canada:-2.138972256472094;,1 -4,null;,null;,https://canoe.com/news/world/u-s-mulling-potential-retaliatory-action-against-china-over-pandemic-sources:-:
1255983890524786689,86e70e2bdc63363a4fecce1c9ba60e0f,Thu Apr 30 22:14:29 +0000 2020,507,379,5,6,null;,1 -4,null;,null;,https://www.dispatch.com/news/20200430/conditions-within-ohiorsquos-coronavirus-infected-prisons-described-as-rsquowar-zonersquo:-:
1255985637246865410,d6fff22276aad81631affdecb83a8d9a,Thu Apr 30 22:21:25 +0000 2020,101,127,0,0,stealth:Stealth_game:-2.646174787470186;,1 -3,null;,null;,http://www.safetyhealthnews.com/covid-prompted-400-rise-in-engagement-led-this-home-health-startup-to-emerge-from-stealth/:-:
1255985687062601729,2af96845573e5256307de4504c9051fc,Thu Apr 30 22:21:37 +0000 2020,414,2151,1,3,quarantine:Quarantine:-2.3096035868012508;,3 -2,AlanCane604,COVID19.,null;
1255985760790069251,c8f0b58eb5105e2318e15ff17b9e4250,Thu Apr 30 22:21:55 +0000 2020,722,572,4,33,fred guttenberg:Fred_Guttenberg:-1.358988884418263;quarantine:Quarantine:-2.3096035868012508;,1 -1,fred_guttenberg GovWhitmer,null;,null;
1255986390803890179,d2c476ec35a8274be8a7e16ccd3cee49,Thu Apr 30 22:24:25 +0000 2020,32756,3035,15,7,kaduna:Kaduna:-1.6483966010617883;kano:Kano:-2.4130422499623903;kano:Kano:-2.4130422499623903;this is madness:This_Is_Madness:-2.856826192413107;,1 -1,MubarakBala,FreeMubarakBala,null;
1255987424003420160,33ceaa2e6b5fd8b8f565fbad72caa5d6,Thu Apr 30 22:28:31 +0000 2020,554,313,0,0,null;,1 -1,null;,null;,null;
1255990446582575109,a97b14453e6bff7957c0e79058ddcb32,Thu Apr 30 22:40:32 +0000 2020,6,2,1,2,mayday:Mayday_%28Canadian_TV_series%29:-2.4274194892272223;mayday:Mayday_%28Canadian_TV_series%29:-2.4274194892272223;,1 -1,null;,null;,null;
1255993051161546752,ed54b52688d4a550d43e68d843f2cb2d,Thu Apr 30 22:50:53 +0000 2020,183,427,1,0,leukemia:Leukemia:-1.5352150015828259;all black:New_Zealand_national_rugby_union_team:-2.629858051872266;fiv:Feline_immunodeficiency_virus:-2.9356132010899354;,3 -3,null;,adoptables blackcats beautifulcats rescue cats kittens philly BucksCountyPA,null;
1255993107319009281,8649803dcbe651e7e7b7ff3ba2c324f0,Thu Apr 30 22:51:06 +0000 2020,6598,1417,0,0,null;,1 -1,null;,null;,null;
1255993182812344323,ea35b04309d982a91e2ec10db7faa231,Thu Apr 30 22:51:24 +0000 2020,1051,201,0,0,seinfeld:Seinfeld:-1.1554060826564363;,2 -2,null;,null;,https://www.youtube.com/watch?v=sWjgjxvBJpo&feature=youtu.be:-:
1255994092955328520,c8466fbf206e3b13f7d17e0bc899ca57,Thu Apr 30 22:55:01 +0000 2020,111,494,0,0,dartford:Dartford_F.C.:-1.7465831715526192;windows:Microsoft_Windows:-2.7904184894171227;balconies:Balcony:-2.930512226015129;,1 -1,,null;,https://www.instagram.com/p/B_n12DMpwQNTnH6Uhhq9vgY9qoz29SV8Kn3Imo0/?igshid=19hgom4934u7f:-:
1255995359660331012,9ab4a033ec70546c8bad0ed6dc677f5f,Thu Apr 30 23:00:03 +0000 2020,132,329,0,0,breaking news:Breaking_news:-2.635676665393473;democrazy:Democrazy:-2.741076674919324;,2 -2,null;,null;,null;
1255996489614196743,85bc7878f69dcc52b76f707a3cb957aa,Thu Apr 30 23:04:33 +0000 2020,4542,1248,4,2,wicked:Wicked_%28musical%29:-2.851585888829314;,3 -3,null;,null;,null;
1255997045774716930,8c2d8daeeb43caf366dc85355b6e8fa1,Thu Apr 30 23:06:45 +0000 2020,730,1153,0,0,resting bitch face:Resting_bitch_face:-1.5128301513263855;,2 -4,null;,null;,null;
1255997534172000258,ee8757b8b51dfe14734d215ce0261f48,Thu Apr 30 23:08:42 +0000 2020,5075,5569,131,111,fbi swat:FBI_Special_Weapons_and_Tactics_Teams:-2.4568959269206005;locked away:Locked_Away:-2.9175638604093987;,1 -4,null;,null;,null;
1255999990176112643,247e19dbaed6a60f5de6358dda68f9a7,Thu Apr 30 23:18:27 +0000 2020,143,192,0,0,gurugram:Gurgaon:-1.534052571357157;india:India:-1.6783115108896653;medanta:Medanta:-1.7595700328711954;,2 -1,achlendra MoHFW_INDIA cmohry DC_Gurugram drharshvardhan,null;,null;
1256000589961539590,9787402c6761faec7c219852f6ae87cb,Thu Apr 30 23:20:50 +0000 2020,330,50,0,0,null;,2 -1,WFSBnews GovNedLamont DennisHouseTV,null;,null;
1256000880362393601,3698819ee2491701e1d07f207e369aac,Thu Apr 30 23:21:59 +0000 2020,3440,4988,2,0,active measures:Active_measures:-1.7524873121804179;china:China:-2.113921624336916;,2 -1,null;,null;,null;
1256001005180710912,150a62bc199e35243e957b64811f4b61,Thu Apr 30 23:22:29 +0000 2020,45543,333,0,0,google:Google:-2.5175167382648445;,1 -2,null;,null;,null;
1256001420408639488,9c711736d0e139c2f47d18740f7b4c55,Thu Apr 30 23:24:08 +0000 2020,782,493,0,0,my guy:My_Guy:-1.5701614374287076;please stay:Please_Stay_%28Kylie_Minogue_song%29:-2.1003626909585003;,2 -1,SendeKamo NCDCgov,null;,null;
1256001655297970178,33f35ffe0f6d78ded6f1cc72e311a905,Thu Apr 30 23:25:04 +0000 2020,1243,1830,0,0,null;,1 -1,null;,COVID19,null;
1256002445152595968,cf58b045806a08845e38d35d9f564d40,Thu Apr 30 23:28:12 +0000 2020,3,110,3,5,mitch mcconnell:Mitch_McConnell:-0.6675549773073155;negligence:Negligence:-2.54827359496993;fox:Fox_Broadcasting_Company:-2.6153054618329423;lied:Lied:-2.814977142954361;,1 -3,TheDemCoalition H_Combs,null;,null;
1256002905905098752,a49f2ceb9aebc64ccb983ffd237c2dba,Thu Apr 30 23:30:02 +0000 2020,728662,859,29,47,wsj:The_Wall_Street_Journal:-2.399445571850927;,2 -1,null;,null;,https://www.wsj.com/articles/coronavirus-deaths-in-u-s-nursing-long-term-care-facilities-top-10-000-11587586237:-:
1256004732939894791,40573484f5051ba2d106ff47c03a5b6c,Thu Apr 30 23:37:18 +0000 2020,282,803,4,4,hydroxychloroquine:Hydroxychloroquine:-1.083599029221355;turkey:Turkey:-1.464368631285348;,3 -2,zev_dr raoult_didier LukeMor19529310 niro60487270 RiganoESQ IngrahamAngle realDonaldTrump,null;,https://www.youtube.com/watch?v=KSgbYwWFZC8&feature=youtu.be:-:
1256004998170677249,ca400034e467fc6b2bb7e1ae7383b6ac,Thu Apr 30 23:38:21 +0000 2020,1397,522,0,0,pic:Maurice_Pic:-2.955856014584561;,1 -1,PplsCityCouncil,null;,null;
1256005436576333824,c316defb7f49cb5648f18e303f27b185,Thu Apr 30 23:40:06 +0000 2020,7553328,1824,29,84,jessica meir:Jessica_Meir:-0.8819699666481685;space station:Space_station:-2.620635176228523;,1 -1,null;,null;,https://www.nbcnews.com/video/sheltering-in-place-in-outer-space-82826309559?cid=sm_npd_nn_tw_ma:-:
1256005562472509440,9f22731af90cddf583b17fd64a5f4455,Thu Apr 30 23:40:36 +0000 2020,2792,267,49,27,null;,2 -2,null;,null;,null;
1256006592006422528,6d9d654f452145ef40090a4befbfcdcc,Thu Apr 30 23:44:41 +0000 2020,1369,653,0,0,null;,2 -2,null;,null;,null;
